,subject,roi,pearson,slope,spearman
0,1121161_neurosketch,V1,0.08297165941147326,0.0014870434782608642,0.4
1,1130161_neurosketch,V1,0.10810469188910898,0.0010558043478260883,0.4
2,1201161_neurosketch,V1,0.6425057095639933,0.009600869565217387,0.4
3,1202161_neurosketch,V1,-0.493655138838754,-0.01018330434782608,-0.4
4,1203161_neurosketch,V1,0.5541521144996838,0.005761934782608688,0.6
5,1206161_neurosketch,V1,-0.7353890433990227,-0.011556891304347828,-0.8
6,1206162_neurosketch,V1,-0.06618652202566679,-0.00021952173913043668,-0.2
7,1206163_neurosketch,V1,-0.6927289030859206,-0.005231521739130436,-0.8
8,1207162_neurosketch,V1,0.8474074695514169,0.00392226086956522,0.6
9,0110171_neurosketch,V1,-0.9029877650665057,-0.007959999999999998,-0.8
10,0110172_neurosketch,V1,-0.010996798506451147,-4.141304347825819e-05,-0.2
11,0111171_neurosketch,V1,-0.19362121413790748,-0.0015584347826086995,0.0
12,0112171_neurosketch,V1,-0.9750466524151754,-0.006863586956521739,-1.0
13,0112172_neurosketch,V1,0.008816260510431691,4.7565217391304024e-05,0.0
14,0112173_neurosketch,V1,-0.8713372548843491,-0.004831695652173918,-0.8
15,0113171_neurosketch,V1,-0.6815260152515411,-0.0018256521739130436,-0.4
16,0115174_neurosketch,V1,0.29982085622098903,0.0017611521739130428,0.4
17,0117171_neurosketch,V1,-0.43563171690815783,-0.0018120434782608705,-0.6
18,0118171_neurosketch,V1,-0.7752593915093793,-0.02045467391304348,-0.6
19,0118172_neurosketch,V1,-0.1987386016687182,-0.0025868478260869508,0.4
20,0119171_neurosketch,V1,0.21672505867396594,0.002180195652173913,-0.2
21,0119172_neurosketch,V1,0.4186781558147266,0.004640717391304347,0.4
22,0119173_neurosketch,V1,0.3385338719104329,0.0038091304347826057,0.6
23,0119174_neurosketch,V1,-0.15890685673933788,-0.00324597826086956,-0.4
24,0120171_neurosketch,V1,0.6591212972812336,0.001988347826086955,0.8
25,0120172_neurosketch,V1,0.6756468837232743,0.0031879347826086943,0.4
26,0120173_neurosketch,V1,0.5014633363073508,0.05092484782608693,0.4
27,0123171_neurosketch,V1,0.6904368674141828,0.0038546739130434784,0.8
28,0123173_neurosketch,V1,0.28755545283599654,0.005954239130434788,0.4
29,0124171_neurosketch,V1,0.5764396232096414,0.0029621739130434805,0.8
30,0125171_neurosketch,V1,0.848993360619778,0.00795282608695652,0.8
31,0125172_neurosketch,V1,-0.09595978797101119,-0.001135021739130437,0.0
32,1121161_neurosketch,V2,0.23237088842892142,0.0020909347826086966,0.4
33,1130161_neurosketch,V2,0.6371905872335952,0.007095652173913045,0.8
34,1201161_neurosketch,V2,0.7287528284305737,0.011891130434782606,0.4
35,1202161_neurosketch,V2,0.19355373948888183,0.002979304347826086,-0.2
36,1203161_neurosketch,V2,0.3883003891915885,0.0030267391304347807,0.6
37,1206161_neurosketch,V2,-0.7866110435864274,-0.013719043478260867,-0.8
38,1206162_neurosketch,V2,0.31483414871027304,0.0007958260869565225,0.4
39,1206163_neurosketch,V2,-0.5403536972351985,-0.0032014999999999973,-0.4
40,1207162_neurosketch,V2,0.5850722670870742,0.0018666304347826073,0.6
41,0110171_neurosketch,V2,-0.8980433344247005,-0.008530717391304343,-0.8
42,0110172_neurosketch,V2,0.4797479334836166,0.002279456521739128,0.4
43,0111171_neurosketch,V2,-0.04470210846469156,-0.0003599999999999988,0.0
44,0112171_neurosketch,V2,-0.9328727269389941,-0.004634760869565214,-1.0
45,0112172_neurosketch,V2,0.2936409792384,0.0019304565217391268,0.6
46,0112173_neurosketch,V2,-0.9976811731435403,-0.002857086956521735,-1.0
47,0113171_neurosketch,V2,-0.475307357679061,-0.0006882826086956521,-0.4
48,0115174_neurosketch,V2,0.558464627414429,0.004609217391304348,0.4
49,0117171_neurosketch,V2,-0.18913226811331002,-0.000894760869565217,0.0
50,0118171_neurosketch,V2,-0.7891690045898889,-0.01662610869565217,-0.6
51,0118172_neurosketch,V2,-0.419061996204251,-0.004874913043478267,-0.8
52,0119171_neurosketch,V2,0.39960328054809546,0.004080934782608698,0.6
53,0119172_neurosketch,V2,0.3726986814775006,0.006532282608695652,0.4
54,0119173_neurosketch,V2,0.5199039549600333,0.0038326086956521773,0.6
55,0119174_neurosketch,V2,-0.1277029032651758,-0.002854521739130435,0.2
56,0120171_neurosketch,V2,0.20827761408157397,0.0006013478260869583,0.0
57,0120172_neurosketch,V2,0.7888105125763908,0.0035723913043478315,0.8
58,0120173_neurosketch,V2,0.44819035561041365,0.03342543478260866,0.4
59,0123171_neurosketch,V2,0.6788391824065989,0.002199630434782609,0.8
60,0123173_neurosketch,V2,0.35299848034995335,0.007644673913043474,0.6
61,0124171_neurosketch,V2,0.02541368310919349,3.61086956521749e-05,-0.2
62,0125171_neurosketch,V2,0.7830064290723219,0.0050190652173913095,0.8
63,0125172_neurosketch,V2,-0.12781329926347856,-0.0004543913043478253,-0.4
64,1121161_neurosketch,LOC,-0.5234997121436338,-0.0032998913043478274,-0.2
65,1130161_neurosketch,LOC,-0.11862408523553734,-0.0009775652173913067,-0.4
66,1201161_neurosketch,LOC,0.6736350973672944,0.014591630434782598,0.4
67,1202161_neurosketch,LOC,-0.6352079021581877,-0.005243065217391304,-0.4
68,1203161_neurosketch,LOC,0.3996716018244643,0.0011028695652173929,0.6
69,1206161_neurosketch,LOC,-0.9003105395867284,-0.012301586956521735,-0.8
70,1206162_neurosketch,LOC,0.8361622594809449,0.0034501521739130443,0.8
71,1206163_neurosketch,LOC,-0.07648200251602975,-8.254347826087043e-05,0.4
72,1207162_neurosketch,LOC,-0.8817862237947252,-0.0015351739130434784,-0.8
73,0110171_neurosketch,LOC,-0.798874792292975,-0.0036509130434782626,-0.8
74,0110172_neurosketch,LOC,0.6748768529263756,0.003248326086956522,0.4
75,0111171_neurosketch,LOC,0.46434592309718836,0.002259239130434784,0.4
76,0112171_neurosketch,LOC,-0.6757929957007512,-0.0029764782608695615,-0.6
77,0112172_neurosketch,LOC,0.5271828256614746,0.0023375434782608668,0.6
78,0112173_neurosketch,LOC,0.9206839219278858,0.0018280869565217377,0.8
79,0113171_neurosketch,LOC,-0.18500202365934765,-0.0007128478260869572,0.2
80,0115174_neurosketch,LOC,0.7361547876786398,0.014141913043478263,0.8
81,0117171_neurosketch,LOC,0.8995978190826099,0.0054920652173913054,0.8
82,0118171_neurosketch,LOC,-0.7659453496379551,-0.010960195652173911,-0.8
83,0118172_neurosketch,LOC,-0.1283004397235281,-0.002751369565217396,0.2
84,0119171_neurosketch,LOC,0.4636270708007102,0.004210500000000002,0.6
85,0119172_neurosketch,LOC,-0.46640954364763654,-0.009378304347826086,-0.6
86,0119173_neurosketch,LOC,0.59567346691501,0.0012664782608695635,0.2
87,0119174_neurosketch,LOC,-0.08635593280842077,-0.0016061739130434794,0.2
88,0120171_neurosketch,LOC,0.12704122932567308,0.00024852173913043625,0.0
89,0120172_neurosketch,LOC,0.8151380705403563,0.004045413043478257,0.8
90,0120173_neurosketch,LOC,-0.29506141572627304,-0.004673630434782608,-0.4
91,0123171_neurosketch,LOC,0.4107931277283434,0.0010130434782608675,0.2
92,0123173_neurosketch,LOC,0.4552150500544302,0.023030152173913045,0.6
93,0124171_neurosketch,LOC,-0.533092431986759,-0.0007676086956521742,-0.2
94,0125171_neurosketch,LOC,0.21966621328004074,0.0013582826086956537,0.0
95,0125172_neurosketch,LOC,-0.7719882052911758,-0.0023513478260869572,-0.8
96,1121161_neurosketch,IT,-0.46654253202301343,-0.0041631086956521735,-0.6
97,1130161_neurosketch,IT,0.6849772216954643,0.015069543478260871,0.8
98,1201161_neurosketch,IT,0.6106284741295935,0.01187886956521739,0.4
99,1202161_neurosketch,IT,0.6248025165314327,0.04263445652173914,0.4
100,1203161_neurosketch,IT,0.6259465422541984,0.0016036956521739126,0.4
101,1206161_neurosketch,IT,-0.8753885055984092,-0.015204478260869566,-0.8
102,1206162_neurosketch,IT,-0.8263101932770193,-0.0013886521739130467,-0.8
103,1206163_neurosketch,IT,0.248120270867569,0.00047730434782608576,0.4
104,1207162_neurosketch,IT,0.6178459980051376,0.0019856956521739125,0.4
105,0110171_neurosketch,IT,-0.8037832795935808,-0.0011393478260869568,-0.8
106,0110172_neurosketch,IT,0.42397136104226774,0.002666478260869566,0.4
107,0111171_neurosketch,IT,0.3742548172749913,0.0012465000000000002,0.2
108,0112171_neurosketch,IT,-0.4595989487806953,-0.0031344130434782604,-0.4
109,0112172_neurosketch,IT,0.32756824609609697,0.0013001521739130436,0.2
110,0112173_neurosketch,IT,-0.539705004945831,-0.0021829130434782612,-0.4
111,0113171_neurosketch,IT,-0.4753185141863786,-0.0016337608695652177,-0.2
112,0115174_neurosketch,IT,0.41857894764527326,0.013333586956521737,0.8
113,0117171_neurosketch,IT,0.008078312588040967,8.847826086957108e-06,-0.4
114,0118171_neurosketch,IT,-0.11713379564832799,-0.0011944565217391304,0.2
115,0118172_neurosketch,IT,0.09393621560233767,0.0009866739130434843,0.2
116,0119171_neurosketch,IT,-0.4130130281134007,-0.0009930217391304354,-0.4
117,0119172_neurosketch,IT,-0.13185268915446938,-0.002907152173913045,0.0
118,0119173_neurosketch,IT,0.8120290233006456,0.0015067608695652174,0.8
119,0119174_neurosketch,IT,-0.3373087409790706,-0.004582999999999995,-0.4
120,0120171_neurosketch,IT,0.30955294522737664,0.0019540217391304316,0.2
121,0120172_neurosketch,IT,0.6974845790394688,0.002945891304347825,0.8
122,0120173_neurosketch,IT,-0.29773821380812243,-0.0025506739130434766,-0.4
123,0123171_neurosketch,IT,-0.6675642454071733,-0.0026936086956521727,-0.8
124,0123173_neurosketch,IT,0.4907288446893539,0.021975543478260872,0.8
125,0124171_neurosketch,IT,0.9219444425249778,0.002823608695652174,1.0
126,0125171_neurosketch,IT,0.2153656364171443,0.0006523260869565242,-0.4
127,0125172_neurosketch,IT,0.37164686491574944,0.0027104347826086943,0.8
128,1121161_neurosketch,Fus,-0.5080527560584616,-0.004997326086956523,-0.6
129,1130161_neurosketch,Fus,0.7293517700459015,0.032516086956521736,0.8
130,1201161_neurosketch,Fus,0.8834172450889102,0.010953086956521738,0.8
131,1202161_neurosketch,Fus,0.3275252241902105,0.010718543478260853,0.2
132,1203161_neurosketch,Fus,0.7296909524681201,0.00431741304347826,0.6
133,1206161_neurosketch,Fus,-0.7809413955594269,-0.014922152173913041,-0.8
134,1206162_neurosketch,Fus,-0.9209706527942887,-0.0005483260869565201,-1.0
135,1206163_neurosketch,Fus,-0.2638107634763606,-0.0007396739130434816,0.0
136,1207162_neurosketch,Fus,0.20505789458144286,0.00020489130434782544,0.2
137,0110171_neurosketch,Fus,-0.7242061138424262,-0.0032929782608695653,-0.4
138,0110172_neurosketch,Fus,0.5092784616693619,0.0014031521739130462,0.4
139,0111171_neurosketch,Fus,-0.14337327049813653,-0.001177521739130434,0.0
140,0112171_neurosketch,Fus,-0.8064712795992101,-0.004727673913043479,-0.8
141,0112172_neurosketch,Fus,-0.8833444964151236,-0.005552195652173912,-0.8
142,0112173_neurosketch,Fus,-0.8577446828038213,-0.002449695652173913,-0.8
143,0113171_neurosketch,Fus,-0.0826305875707405,-0.00018263043478260795,0.2
144,0115174_neurosketch,Fus,0.6165351588886832,0.01437886956521739,0.8
145,0117171_neurosketch,Fus,-0.2231078248171615,-0.0007890652173913052,0.0
146,0118171_neurosketch,Fus,-0.9045554896752407,-0.015830021739130434,-0.8
147,0118172_neurosketch,Fus,0.8052076572784265,0.029613934782608674,0.8
148,0119171_neurosketch,Fus,-0.1318497052386231,-0.0015439565217391289,0.0
149,0119172_neurosketch,Fus,-0.3319508160699975,-0.006792108695652175,-0.6
150,0119173_neurosketch,Fus,0.9319656339406394,0.0018556304347826086,1.0
151,0119174_neurosketch,Fus,0.06293885924412619,0.0008372608695652199,0.2
152,0120171_neurosketch,Fus,0.563312393996099,0.005499565217391303,0.4
153,0120172_neurosketch,Fus,0.20104061031448836,0.0012394130434782598,0.4
154,0120173_neurosketch,Fus,-0.7346240346483276,-0.003220565217391302,-0.4
155,0123171_neurosketch,Fus,-0.7952367003992595,-0.0018671956521739141,-0.8
156,0123173_neurosketch,Fus,0.5156829763990864,0.028884065217391296,0.6
157,0124171_neurosketch,Fus,0.5981831517764691,0.0017131086956521733,0.8
158,0125171_neurosketch,Fus,0.7999376597961475,0.0022182826086956527,0.8
159,0125172_neurosketch,Fus,-0.7033717382527803,-0.004831760869565218,-0.4
160,1121161_neurosketch,PHC,-0.4558579024158822,-0.004338326086956524,-0.4
161,1130161_neurosketch,PHC,0.6538447001436799,0.05473371739130435,0.4
162,1201161_neurosketch,PHC,0.6032609064440533,0.01062736956521739,0.4
163,1202161_neurosketch,PHC,0.7155562767657426,0.04685715217391305,0.2
164,1203161_neurosketch,PHC,0.6597060801691463,0.013759586956521741,0.4
165,1206161_neurosketch,PHC,0.08899873898319957,0.002046326086956518,0.4
166,1206162_neurosketch,PHC,-0.8445337466552213,-0.0020467826086956525,-0.8
167,1206163_neurosketch,PHC,-0.80585549715467,-0.010966347826086959,-0.8
168,1207162_neurosketch,PHC,-0.05630755428758331,-0.00014434782608695705,-0.2
169,0110171_neurosketch,PHC,0.3948590910784193,0.0045316739130434784,0.6
170,0110172_neurosketch,PHC,-0.7805299608216024,-0.005918739130434781,-0.8
171,0111171_neurosketch,PHC,0.28161763377161214,0.002952891304347828,0.0
172,0112171_neurosketch,PHC,0.2471888739208841,0.0013315869565217408,0.0
173,0112172_neurosketch,PHC,-0.6377980480512945,-0.0026288043478260863,-0.4
174,0112173_neurosketch,PHC,-0.28071292619106125,-0.0017533478260869575,-0.4
175,0113171_neurosketch,PHC,-0.1848959432650629,-0.0013955869565217417,0.0
176,0115174_neurosketch,PHC,0.502498955977821,0.015374108695652169,0.6
177,0117171_neurosketch,PHC,-0.7108532624984761,-0.0022243260869565214,-0.4
178,0118171_neurosketch,PHC,-0.8884789690040588,-0.012024391304347824,-0.8
179,0118172_neurosketch,PHC,0.9497979253693339,0.03878069565217392,1.0
180,0119171_neurosketch,PHC,-0.23952543563458456,-0.006612826086956523,-0.4
181,0119172_neurosketch,PHC,-0.30726184223686903,-0.011280326086956522,-0.6
182,0119173_neurosketch,PHC,0.8689500175189552,0.007655826086956521,0.8
183,0119174_neurosketch,PHC,0.06726111127236965,0.00025293478260869276,0.4
184,0120171_neurosketch,PHC,0.615786788062297,0.019135978260869567,0.2
185,0120172_neurosketch,PHC,0.47520370297826847,0.0030662391304347785,0.2
186,0120173_neurosketch,PHC,0.5882958885408885,0.0052253260869565225,0.6
187,0123171_neurosketch,PHC,0.7892277867318587,0.007067739130434783,0.8
188,0123173_neurosketch,PHC,0.48306894764147557,0.06109958695652171,0.6
189,0124171_neurosketch,PHC,0.14450559272133037,0.0010361521739130433,0.4
190,0125171_neurosketch,PHC,-0.9983567554609311,-0.004239434782608696,-1.0
191,0125172_neurosketch,PHC,-0.9810847203159015,-0.01708173913043478,-1.0
192,1121161_neurosketch,PRC,0.015426959756430264,9.282608695652151e-05,-0.2
193,1130161_neurosketch,PRC,0.7855599453190609,0.04006013043478259,0.8
194,1201161_neurosketch,PRC,0.6836727868935313,0.009732434782608698,0.4
195,1202161_neurosketch,PRC,-0.3855160419287096,-0.004433847826086958,-0.4
196,1203161_neurosketch,PRC,0.8215402503059047,0.0074329347826086935,0.8
197,1206161_neurosketch,PRC,0.030197461980471043,0.00027058695652174144,-0.2
198,1206162_neurosketch,PRC,0.35499010858354424,0.0015670869565217384,0.4
199,1206163_neurosketch,PRC,-0.9069468665254338,-0.006017,-0.8
200,1207162_neurosketch,PRC,0.5086217928383437,0.0021102826086956514,0.4
201,0110171_neurosketch,PRC,0.8395051399982159,0.0038770652173913053,0.8
202,0110172_neurosketch,PRC,-0.7045556015488168,-0.005127086956521738,-0.4
203,0111171_neurosketch,PRC,0.6729978226633904,0.005291717391304349,0.4
204,0112171_neurosketch,PRC,-0.5961707074723419,-0.0011383043478260866,-0.4
205,0112172_neurosketch,PRC,-0.8972668012655585,-0.004830739130434782,-0.8
206,0112173_neurosketch,PRC,-0.2194894919632597,-0.0012259130434782634,0.0
207,0113171_neurosketch,PRC,0.36240344392593815,0.0006409782608695648,0.6
208,0115174_neurosketch,PRC,0.6384226392902493,0.010326086956521738,0.8
209,0117171_neurosketch,PRC,0.893687557031333,0.004550152173913043,0.8
210,0118171_neurosketch,PRC,-0.8868396933855649,-0.008519282608695652,-0.8
211,0118172_neurosketch,PRC,0.7167904057366863,0.003587760869565218,0.8
212,0119171_neurosketch,PRC,0.12894353902829245,0.0011328260869565222,0.0
213,0119172_neurosketch,PRC,-0.5141400578193573,-0.015228326086956526,-0.6
214,0119173_neurosketch,PRC,0.8567770509233213,0.008738173913043476,0.8
215,0119174_neurosketch,PRC,-0.23334885700264016,-0.0014171739130434786,-0.4
216,0120171_neurosketch,PRC,0.521543969696457,0.005147195652173912,0.2
217,0120172_neurosketch,PRC,0.25931461619443336,0.00037150000000000025,0.4
218,0120173_neurosketch,PRC,0.5871735140792212,0.001983217391304348,0.8
219,0123171_neurosketch,PRC,0.4618575929684212,0.0027306086956521733,0.8
220,0123173_neurosketch,PRC,0.47392308232929614,0.03642245652173912,0.6
221,0124171_neurosketch,PRC,0.5622058561403397,0.0029415000000000005,0.6
222,0125171_neurosketch,PRC,-0.8463871386023115,-0.0034553043478260845,-0.8
223,0125172_neurosketch,PRC,-0.879289069241698,-0.008857760869565218,-1.0
224,1121161_neurosketch,EC,0.4143333128264807,0.00624954347826087,0.4
225,1130161_neurosketch,EC,0.8827168994121767,0.013282978260869563,0.8
226,1201161_neurosketch,EC,0.3450687480381236,0.002445152173913044,0.2
227,1202161_neurosketch,EC,0.6622802426129095,0.024973891304347844,0.2
228,1203161_neurosketch,EC,0.781956124954161,0.002995826086956523,0.8
229,1206161_neurosketch,EC,0.33076144852589523,0.004201043478260869,0.4
230,1206162_neurosketch,EC,0.24484749852409507,0.0024595217391304358,0.2
231,1206163_neurosketch,EC,0.8295765141906312,0.00362328260869565,0.8
232,1207162_neurosketch,EC,0.07205949735387183,0.0003271521739130437,0.2
233,0110171_neurosketch,EC,0.9263703191499679,0.009298065217391304,0.8
234,0110172_neurosketch,EC,-0.9792661579173159,-0.004987413043478259,-1.0
235,0111171_neurosketch,EC,0.10391221066301284,0.0006671304347826094,0.4
236,0112171_neurosketch,EC,-0.676081029596639,-0.002677108695652174,-0.4
237,0112172_neurosketch,EC,-0.4060135147735514,-0.0027078695652173906,-0.4
238,0112173_neurosketch,EC,-0.32615834646723646,-0.00155136956521739,-0.4
239,0113171_neurosketch,EC,0.22141624708049576,0.0013213913043478272,0.2
240,0115174_neurosketch,EC,0.8834459076151784,0.008907347826086959,0.8
241,0117171_neurosketch,EC,0.07603055255573259,0.00047154347826086905,0.4
242,0118171_neurosketch,EC,-0.8540829975020395,-0.006209717391304351,-0.8
243,0118172_neurosketch,EC,0.8827729411303458,0.00495236956521739,0.8
244,0119171_neurosketch,EC,-0.0035675605342050496,-3.1130434782607536e-05,0.0
245,0119172_neurosketch,EC,-0.3798227466234858,-0.0030153043478260886,-0.6
246,0119173_neurosketch,EC,0.5287899238623709,0.006508456521739131,0.4
247,0119174_neurosketch,EC,0.1300974188431188,0.001110260869565219,0.0
248,0120171_neurosketch,EC,0.3677042453442112,0.0022771521739130447,0.2
249,0120172_neurosketch,EC,-0.12380270208444927,-0.0006035869565217379,-0.2
250,0120173_neurosketch,EC,-0.6889332442049637,-0.00858708695652174,-0.8
251,0123171_neurosketch,EC,0.8165013119527229,0.0038581086956521716,0.8
252,0123173_neurosketch,EC,0.6708115596926397,0.009536478260869567,0.8
253,0124171_neurosketch,EC,0.8046948875675797,0.004454804347826088,1.0
254,0125171_neurosketch,EC,0.7826467328486935,0.007790478260869567,0.8
255,0125172_neurosketch,EC,0.03971817280591145,0.00014036956521739017,0.2
256,1121161_neurosketch,HC,0.9119726170522825,0.005354152173913043,0.8
257,1130161_neurosketch,HC,0.7125864626463656,0.01614534782608696,0.8
258,1201161_neurosketch,HC,0.8885022670455526,0.016771239130434785,0.8
259,1202161_neurosketch,HC,0.5056395066696827,0.044517804347826095,0.2
260,1203161_neurosketch,HC,-0.13805527442580978,-0.0007844999999999998,-0.2
261,1206161_neurosketch,HC,-0.30428655168931956,-0.002932217391304346,-0.2
262,1206162_neurosketch,HC,-0.1983576240624053,-0.0008197826086956534,0.0
263,1206163_neurosketch,HC,0.5240877300548631,0.0018577391304347823,0.4
264,1207162_neurosketch,HC,-0.8084441161904865,-0.0004291086956521746,-0.8
265,0110171_neurosketch,HC,0.051740386624836314,0.00019763043478260913,-0.4
266,0110172_neurosketch,HC,-0.3170397828601684,-0.0016076739130434776,-0.2
267,0111171_neurosketch,HC,0.050333283977575353,0.00023595652173912996,0.4
268,0112171_neurosketch,HC,-0.6380086988543628,-0.004443695652173915,-0.4
269,0112172_neurosketch,HC,-0.4287019247502116,-0.0012695000000000002,-0.2
270,0112173_neurosketch,HC,-0.25175881865911054,-0.0013024565217391291,-0.4
271,0113171_neurosketch,HC,0.03798937710931936,0.00027571739130434724,0.0
272,0115174_neurosketch,HC,0.7087669918130906,0.01776965217391304,0.8
273,0117171_neurosketch,HC,0.17674430558167706,0.00040380434782608685,0.0
274,0118171_neurosketch,HC,-0.8858308942478423,-0.0011261521739130427,-0.8
275,0118172_neurosketch,HC,0.9073383710674371,0.014363630434782611,0.8
276,0119171_neurosketch,HC,-0.12701667211806436,-0.0027746521739130435,-0.4
277,0119172_neurosketch,HC,-0.21901590582433414,-0.006886086956521739,0.0
278,0119173_neurosketch,HC,0.12285796099789563,0.0009752608695652191,0.2
279,0119174_neurosketch,HC,-0.17338325255266696,-0.0012430652173913035,-0.2
280,0120171_neurosketch,HC,0.5516114017706923,0.006405630434782611,0.4
281,0120172_neurosketch,HC,-0.4268563992030108,-0.0016895434782608688,-0.8
282,0120173_neurosketch,HC,0.36095255414384075,0.001124978260869565,0.6
283,0123171_neurosketch,HC,0.23693075595811428,0.002524326086956522,0.2
284,0123173_neurosketch,HC,0.5025510052780743,0.03924152173913044,0.6
285,0124171_neurosketch,HC,0.7011868407995834,0.0024191739130434782,0.6
286,0125171_neurosketch,HC,0.8687895836443218,0.00244441304347826,0.8
287,0125172_neurosketch,HC,-0.5137947178282273,-0.0018956521739130427,-0.2
